--------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
============================================================================================
http://dbpedia.org/property/graduates	1	1
http://dbpedia.org/property/osGridReference	1	1
http://dbpedia.org/ontology/pastor	1	1
http://dbpedia.org/ontology/isPartOfName	1	1
http://dbpedia.org/ontology/operatedBy	1	1
http://dbpedia.org/ontology/headquarter	1	1
http://dbpedia.org/property/timezone1Dst	1	1
http://dbpedia.org/ontology/operatingIncome	1	1
http://dbpedia.org/property/area	1	1
http://dbpedia.org/ontology/sport	1	1
http://dbpedia.org/property/charingxDistanceMi	1	1
http://dbpedia.org/ontology/department	1	1
http://dbpedia.org/property/operatingIncome	1	1
http://dbpedia.org/property/postcodeDistrict	1	1
http://dbpedia.org/property/rebuilt	1	1
http://dbpedia.org/property/headLabel	1	1
http://dbpedia.org/ontology/headLabel	1	1
http://dbpedia.org/ontology/numberOfGraduateStudents	1	1
http://dbpedia.org/ontology/distanceToCharingCross	1	1
http://dbpedia.org/property/pastor	1	1
http://dbpedia.org/property/membership	1	1
http://dbpedia.org/property/pop	1	1
http://dbpedia.org/ontology/numberOfVolunteers	1	1
--------------------------------------------------------------------------------------------
