-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/property/telephoneArea>                         | 7              | 15     |
| <http://dbpedia.org/property/category>                              | 6              | 17     |
| <http://dbpedia.org/property/höhe>                                  | 6              | 9      |
| <http://dbpedia.org/property/anthem>                                | 6              | 6      |
| <http://dbpedia.org/property/einwohner>                             | 6              | 9      |
| <http://dbpedia.org/ontology/distanceToEdinburgh>                   | 6              | 153    |
| <http://dbpedia.org/property/type>                                  | 6              | 17     |
| <http://dbpedia.org/property/fläche>                                | 6              | 9      |
| <http://dbpedia.org/property/officiallang>                          | 6              | 11     |
| <http://dbpedia.org/property/yearEnd>                               | 6              | 11     |
| <http://dbpedia.org/ontology/censusYear>                            | 6              | 17     |
| <http://dbpedia.org/property/yearStart>                             | 6              | 11     |
| <http://dbpedia.org/property/leader>                                | 5              | 42     |
| <http://dbpedia.org/property/shireCounty>                           | 5              | 5      |
| <http://dbpedia.org/property/popyear>                               | 5              | 12     |
| <http://dbpedia.org/ontology/lowestPlace>                           | 5              | 47     |
| <http://dbpedia.org/property/shireDistrict>                         | 5              | 5      |
| <http://dbpedia.org/property/popUrban>                              | 5              | 38     |
| <http://dbpedia.org/property/archipelago>                           | 5              | 6      |
| <http://dbpedia.org/property/divisions>                             | 5              | 21     |
| <http://dbpedia.org/ontology/party>                                 | 5              | 5      |
| <http://dbpedia.org/property/populationRural>                       | 5              | 11     |
| <http://dbpedia.org/ontology/division>                              | 5              | 21     |
| <http://dbpedia.org/ontology/metropolitanBorough>                   | 5              | 6      |
| <http://dbpedia.org/ontology/populationRural>                       | 5              | 11     |
| <http://dbpedia.org/property/metropolitanBorough>                   | 5              | 6      |
| <http://dbpedia.org/property/lieutenancyEngland>                    | 5              | 5      |
| <http://dbpedia.org/property/twin1Country>                          | 4              | 114    |
| <http://dbpedia.org/ontology/municipalityCode>                      | 4              | 13     |
| <http://dbpedia.org/property/countryLargestCity>                    | 4              | 4      |
| <http://dbpedia.org/property/unitaryWales>                          | 4              | 7      |
| <http://dbpedia.org/property/title>                                 | 4              | 72     |
| <http://dbpedia.org/property/nearestCity>                           | 4              | 4      |
| <http://dbpedia.org/ontology/soundRecording>                        | 4              | 72     |
| <http://dbpedia.org/property/populationDensityMetroSqMi>            | 4              | 6      |
| <http://dbpedia.org/property/canton>                                | 4              | 10     |
| <http://dbpedia.org/ontology/meaning>                               | 4              | 8      |
| <http://dbpedia.org/ontology/lowest>                                | 4              | 38     |
| <http://dbpedia.org/property/frazioni>                              | 4              | 13     |
| <http://dbpedia.org/property/lieutenancyWales>                      | 4              | 7      |
| <http://dbpedia.org/property/rulingParty>                           | 4              | 78     |
| <http://dbpedia.org/property/government>                            | 4              | 74     |
| <http://dbpedia.org/ontology/government>                            | 4              | 74     |
| <http://dbpedia.org/property/partei>                                | 4              | 4      |
| <http://dbpedia.org/property/subjectName>                           | 4              | 17     |
| <http://dbpedia.org/ontology/canton>                                | 4              | 10     |
| <http://dbpedia.org/ontology/principalArea>                         | 4              | 7      |
| <http://dbpedia.org/property/twin2Country>                          | 4              | 7      |
| <http://dbpedia.org/property/highestElevation>                      | 4              | 38     |
| <http://dbpedia.org/property/edinburghDistance>                     | 4              | 8      |
| <http://dbpedia.org/property/filename>                              | 4              | 72     |
| <http://dbpedia.org/property/neighboringMunicipalities>             | 4              | 179    |
| <http://dbpedia.org/ontology/dissolutionYear>                       | 4              | 8      |
| <http://dbpedia.org/ontology/neighboringMunicipality>               | 4              | 179    |
| <http://dbpedia.org/property/royalAnthem>                           | 4              | 70     |
| <http://dbpedia.org/property/externalLink>                          | 4              | 4      |
| <http://dbpedia.org/property/populationDensity>                     | 4              | 147    |
| <http://dbpedia.org/ontology/frazioni>                              | 4              | 20     |
| <http://dbpedia.org/ontology/nearestCity>                           | 4              | 4      |
| <http://dbpedia.org/ontology/archipelago>                           | 4              | 5      |
| <http://dbpedia.org/property/meaning>                               | 4              | 8      |
| <http://dbpedia.org/property/municipalityCode>                      | 4              | 13     |
| <http://dbpedia.org/property/isoCodeRegion>                         | 4              | 13     |
| <http://dbpedia.org/property/lowestElevation>                       | 4              | 38     |
| <http://dbpedia.org/ontology/intercommunality>                      | 3              | 48     |
| <http://dbpedia.org/property/description>                           | 3              | 62     |
| <http://dbpedia.org/property/language>                              | 3              | 292    |
| <http://dbpedia.org/property/intercommunality>                      | 3              | 25     |
| <http://dbpedia.org/ontology/highestPosition>                       | 3              | 36     |
| <http://dbpedia.org/property/bezirk>                                | 3              | 3      |
| <http://dbpedia.org/ontology/dissolutionDate>                       | 3              | 7      |
| <http://dbpedia.org/property/londonDistanceMi>                      | 3              | 146    |
| <http://dbpedia.org/ontology/largestSettlement>                     | 3              | 29     |
| <http://dbpedia.org/property/largestSettlement>                     | 3              | 29     |
| <http://dbpedia.org/property/arname>                                | 3              | 5      |
| <http://dbpedia.org/ontology/governmentPosition>                    | 3              | 36     |
| <http://dbpedia.org/property/lowestM>                               | 3              | 12     |
| <http://dbpedia.org/ontology/governmentElevation>                   | 3              | 36     |
| <http://dbpedia.org/property/highestM>                              | 3              | 12     |
| <http://dbpedia.org/property/highestRegion>                         | 2              | 35     |
| <http://dbpedia.org/ontology/areaRural>                             | 2              | 14     |
| <http://dbpedia.org/ontology/lowestMountain>                        | 2              | 35     |
| <http://dbpedia.org/ontology/highestRegion>                         | 2              | 35     |
| <http://dbpedia.org/property/areaMetro>                             | 2              | 12     |
| <http://dbpedia.org/property/shoppingMallName>                      | 2              | 3      |
| <http://dbpedia.org/property/populationDemonym>                     | 2              | 38     |
| <http://dbpedia.org/property/localName>                             | 2              | 19     |
| <http://dbpedia.org/ontology/subdivisions>                          | 2              | 23     |
| <http://dbpedia.org/property/twin3Country>                          | 2              | 4      |
| <http://dbpedia.org/property/city>                                  | 2              | 10     |
| <http://dbpedia.org/property/nameLocal>                             | 2              | 12     |
| <http://dbpedia.org/property/twin6Country>                          | 2              | 4      |
| <http://dbpedia.org/property/elevationImperial>                     | 2              | 4      |
| <http://dbpedia.org/property/twintowns>                             | 2              | 8      |
| <http://dbpedia.org/ontology/length>                                | 2              | 2      |
| <http://dbpedia.org/property/highest>                               | 2              | 5      |
| <http://dbpedia.org/property/governmentElevation>                   | 2              | 35     |
| <http://dbpedia.org/ontology/highestPlace>                          | 2              | 5      |
| <http://dbpedia.org/property/areaRuralKm>                           | 2              | 14     |
| <http://dbpedia.org/property/charingxDistanceMi>                    | 2              | 2      |
| <http://dbpedia.org/ontology/governmentRegion>                      | 2              | 35     |
| <http://dbpedia.org/property/popEstAsOf>                            | 2              | 5      |
| <http://dbpedia.org/property/governmentRegion>                      | 2              | 35     |
| <http://dbpedia.org/property/lowestLocation>                        | 2              | 35     |
| <http://dbpedia.org/ontology/distanceToCharingCross>                | 2              | 2      |
| <http://dbpedia.org/property/subdivisions>                          | 2              | 23     |
| <http://dbpedia.org/property/lowestElevationImperial>               | 1              | 1      |
| <http://dbpedia.org/property/highestState>                          | 1              | 29     |
| <http://dbpedia.org/property/londonBorough>                         | 1              | 1      |
| <http://dbpedia.org/property/edinburghDistanceMi>                   | 1              | 144    |
| <http://dbpedia.org/property/politicalGroups>                       | 1              | 1      |
| <http://dbpedia.org/property/founded>                               | 1              | 3      |
| <http://dbpedia.org/property/popDate>                               | 1              | 4      |
| <http://dbpedia.org/property/address>                               | 1              | 1      |
| <http://dbpedia.org/property/nuts>                                  | 1              | 1      |
| <http://dbpedia.org/property/popofyear>                             | 1              | 5      |
| <http://dbpedia.org/property/highestElevationImperial>              | 1              | 1      |
| <http://dbpedia.org/ontology/id>                                    | 1              | 1      |
| <http://dbpedia.org/property/twin5Country>                          | 1              | 3      |
| <http://dbpedia.org/property/governmentLocation>                    | 1              | 1      |
| <http://dbpedia.org/property/part>                                  | 1              | 2      |
| <http://dbpedia.org/property/elevationMax>                          | 1              | 11     |
| <http://dbpedia.org/property/elevationMin>                          | 1              | 11     |
| <http://dbpedia.org/property/bundesland>                            | 1              | 1      |
| <http://dbpedia.org/ontology/highestState>                          | 1              | 29     |
| <http://dbpedia.org/ontology/time>                                  | 1              | 1      |
| <http://dbpedia.org/property/twin4Country>                          | 1              | 1      |
| <http://dbpedia.org/property/governmentElevationImperial>           | 1              | 1      |
| <http://dbpedia.org/property/populationDensityUrbanSqMi>            | 1              | 1      |
| <http://dbpedia.org/property/populationof>                          | 1              | 1      |
| <http://dbpedia.org/property/lengthKm>                              | 1              | 1      |
| <http://dbpedia.org/ontology/grossDomesticProduct>                  | 1              | 1      |
