-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/ontology/twinCountry>                           | 22             | 3162   |
| <http://dbpedia.org/property/elevationMaxFt>                        | 22             | 371    |
| <http://dbpedia.org/property/numberOfRooms>                         | 21             | 33     |
| <http://dbpedia.org/ontology/river>                                 | 21             | 88     |
| <http://dbpedia.org/property/river>                                 | 21             | 88     |
| <http://dbpedia.org/ontology/numberOfRooms>                         | 21             | 33     |
| <http://dbpedia.org/property/faa>                                   | 21             | 22     |
| <http://dbpedia.org/ontology/height>                                | 20             | 33     |
| <http://dbpedia.org/ontology/length>                                | 20             | 26     |
| <http://dbpedia.org/property/metropolitanBorough>                   | 19             | 74     |
| <http://dbpedia.org/property/floors>                                | 19             | 27     |
| <http://dbpedia.org/ontology/faaLocationIdentifier>                 | 19             | 21     |
| <http://dbpedia.org/ontology/metropolitanBorough>                   | 19             | 74     |
| <http://dbpedia.org/property/lowest>                                | 19             | 93     |
| <http://dbpedia.org/property/elevationMinFt>                        | 18             | 351    |
| <http://dbpedia.org/property/unitaryScotland>                       | 18             | 140    |
| <http://dbpedia.org/ontology/floorArea>                             | 18             | 29     |
| <http://dbpedia.org/property/lieutenancyEngland>                    | 18             | 105    |
| <http://dbpedia.org/ontology/Building/floorArea>                    | 18             | 29     |
| <http://dbpedia.org/property/countryLargestCity>                    | 18             | 68     |
| <http://dbpedia.org/property/intercommunality>                      | 17             | 59     |
| <http://dbpedia.org/property/genre>                                 | 17             | 27     |
| <http://dbpedia.org/ontology/intercommunality>                      | 17             | 59     |
| <http://dbpedia.org/property/r3Surface>                             | 17             | 26     |
| <http://dbpedia.org/property/r3Number>                              | 17             | 26     |
| <http://dbpedia.org/ontology/genre>                                 | 17             | 55     |
| <http://dbpedia.org/ontology/foundingYear>                          | 17             | 97     |
| <http://dbpedia.org/property/party>                                 | 17             | 62     |
| <http://dbpedia.org/property/nativename>                            | 17             | 20     |
| <http://dbpedia.org/ontology/mouthMountain>                         | 16             | 38     |
| <http://dbpedia.org/property/mouthLocation>                         | 16             | 29     |
| <http://dbpedia.org/ontology/censusYear>                            | 16             | 25     |
| <http://dbpedia.org/ontology/lowest>                                | 16             | 81     |
| <http://dbpedia.org/property/londonDistance>                        | 16             | 30     |
| <http://dbpedia.org/property/architecture>                          | 16             | 19     |
| <http://dbpedia.org/ontology/mouthPlace>                            | 16             | 38     |
| <http://dbpedia.org/property/lieutenancyScotland>                   | 16             | 127    |
| <http://dbpedia.org/property/gaelicName>                            | 16             | 115    |
| <http://dbpedia.org/ontology/mouthPosition>                         | 16             | 27     |
| <http://dbpedia.org/ontology/party>                                 | 16             | 91     |
| <http://dbpedia.org/ontology/councilArea>                           | 15             | 100    |
| <http://dbpedia.org/ontology/lieutenancyArea>                       | 15             | 123    |
| <http://dbpedia.org/property/government>                            | 15             | 74     |
| <http://dbpedia.org/property/r3LengthM>                             | 15             | 24     |
| <http://dbpedia.org/ontology/government>                            | 15             | 74     |
| <http://dbpedia.org/property/r3LengthF>                             | 15             | 24     |
| <http://dbpedia.org/ontology/sourcePosition>                        | 14             | 25     |
| <http://dbpedia.org/property/floorCount>                            | 14             | 26     |
| <http://dbpedia.org/property/mouthElevation>                        | 14             | 25     |
| <http://dbpedia.org/property/sourceLocation>                        | 14             | 29     |
| <http://dbpedia.org/ontology/sourcePlace>                           | 14             | 39     |
| <http://dbpedia.org/ontology/riverMouth>                            | 14             | 37     |
| <http://dbpedia.org/property/startDate>                             | 14             | 21     |
| <http://dbpedia.org/ontology/mouthElevation>                        | 14             | 25     |
| <http://dbpedia.org/ontology/sourceMountain>                        | 14             | 39     |
| <http://dbpedia.org/ontology/nearestCity>                           | 14             | 30     |
| <http://dbpedia.org/property/sourceElevation>                       | 14             | 25     |
| <http://dbpedia.org/ontology/sourceElevation>                       | 14             | 28     |
| <http://dbpedia.org/property/gdp>                                   | 13             | 69     |
| <http://dbpedia.org/ontology/openingYear>                           | 13             | 18     |
| <http://dbpedia.org/property/nuts>                                  | 13             | 69     |
| <http://dbpedia.org/property/subjectName>                           | 13             | 61     |
| <http://dbpedia.org/ontology/neighboringMunicipality>               | 13             | 373    |
| <http://dbpedia.org/ontology/municipalityCode>                      | 13             | 38     |
| <http://dbpedia.org/property/mainContractors>                       | 13             | 39     |
| <http://dbpedia.org/ontology/nutsCode>                              | 13             | 69     |
| <http://dbpedia.org/property/isoCodeRegion>                         | 13             | 38     |
| <http://dbpedia.org/property/neighboringMunicipalities>             | 13             | 367    |
| <http://dbpedia.org/ontology/grossDomesticProduct>                  | 13             | 69     |
| <http://dbpedia.org/property/municipalityCode>                      | 13             | 38     |
| <http://dbpedia.org/property/tributaryLeft>                         | 12             | 72     |
| <http://dbpedia.org/ontology/leftTributary>                         | 12             | 72     |
| <http://dbpedia.org/property/archipelago>                           | 12             | 43     |
| <http://dbpedia.org/property/locationTown>                          | 12             | 16     |
| <http://dbpedia.org/ontology/rightTributary>                        | 12             | 73     |
| <http://dbpedia.org/property/openingDate>                           | 12             | 18     |
| <http://dbpedia.org/property/tributaryRight>                        | 12             | 73     |
| <http://dbpedia.org/ontology/countySeat>                            | 11             | 17     |
| <http://dbpedia.org/property/twin1Country>                          | 11             | 3048   |
| <http://dbpedia.org/property/density>                               | 11             | 49     |
| <http://dbpedia.org/ontology/frazioni>                              | 11             | 335    |
| <http://dbpedia.org/property/germanName>                            | 11             | 76     |
| <http://dbpedia.org/property/code>                                  | 11             | 25     |
| <http://dbpedia.org/ontology/governmentPosition>                    | 11             | 62     |
| <http://dbpedia.org/ontology/code>                                  | 11             | 25     |
| <http://dbpedia.org/property/areaPercentage>                        | 11             | 17     |
| <http://dbpedia.org/property/seatWl>                                | 11             | 17     |
| <http://dbpedia.org/property/time>                                  | 11             | 156    |
| <http://dbpedia.org/property/frazioni>                              | 11             | 73     |
| <http://dbpedia.org/property/basinCountries>                        | 10             | 15     |
| <http://dbpedia.org/property/mouthName>                             | 10             | 32     |
| <http://dbpedia.org/property/nearestCity>                           | 10             | 24     |
| <http://dbpedia.org/property/highestElevation>                      | 10             | 22     |
| <http://dbpedia.org/property/scotsName>                             | 10             | 82     |
| <http://dbpedia.org/property/yearStart>                             | 10             | 105    |
| <http://dbpedia.org/property/yearEnd>                               | 10             | 105    |
| <http://dbpedia.org/ontology/locationCountry>                       | 10             | 14     |
| <http://dbpedia.org/property/popMetro>                              | 10             | 73     |
| <http://dbpedia.org/ontology/borough>                               | 10             | 16     |
| <http://dbpedia.org/ontology/archipelago>                           | 10             | 38     |
| <http://dbpedia.org/property/lowestElevation>                       | 10             | 29     |
| <http://dbpedia.org/property/largestCityWl>                         | 10             | 13     |
| <http://dbpedia.org/property/londonBorough>                         | 10             | 13     |
| <http://dbpedia.org/property/dischargeAverage>                      | 9              | 20     |
| <http://dbpedia.org/property/established>                           | 9              | 22     |
| <http://dbpedia.org/ontology/Stream/dischargeAverage>               | 9              | 20     |
| <http://dbpedia.org/ontology/highestPosition>                       | 9              | 22     |
| <http://dbpedia.org/ontology/source>                                | 9              | 34     |
| <http://dbpedia.org/property/rulingParty>                           | 9              | 210    |
| <http://dbpedia.org/property/highest>                               | 9              | 20     |
| <http://dbpedia.org/ontology/dischargeAverage>                      | 9              | 20     |
| <http://dbpedia.org/ontology/highestPlace>                          | 9              | 23     |
| <http://dbpedia.org/property/densitySqMi>                           | 8              | 11     |
| <http://dbpedia.org/property/renovated>                             | 8              | 24     |
| <http://dbpedia.org/property/locationCountry>                       | 8              | 10     |
| <http://dbpedia.org/property/populationDemonym>                     | 8              | 141    |
| <http://dbpedia.org/property/italianName>                           | 8              | 35     |
| <http://dbpedia.org/ontology/numberOfSuites>                        | 8              | 13     |
| <http://dbpedia.org/ontology/rebuildingDate>                        | 8              | 19     |
| <http://dbpedia.org/property/shoppingMallName>                      | 8              | 15     |
| <http://dbpedia.org/property/chain>                                 | 8              | 13     |
| <http://dbpedia.org/ontology/chain>                                 | 8              | 13     |
| <http://dbpedia.org/ontology/distanceToEdinburgh>                   | 8              | 25     |
| <http://dbpedia.org/ontology/sourceCountry>                         | 8              | 12     |
| <http://dbpedia.org/property/numberOfSuites>                        | 8              | 13     |
| <http://dbpedia.org/property/highestElevationImperial>              | 8              | 18     |
| <http://dbpedia.org/ontology/inflow>                                | 8              | 17     |
| <http://dbpedia.org/property/sourceCountry>                         | 7              | 11     |
| <http://dbpedia.org/ontology/averageDepth>                          | 7              | 7      |
| <http://dbpedia.org/ontology/principalArea>                         | 7              | 24     |
| <http://dbpedia.org/property/numberOfRestaurants>                   | 7              | 8      |
| <http://dbpedia.org/property/lowestElevationImperial>               | 7              | 53     |
| <http://dbpedia.org/property/popDate>                               | 7              | 43     |
| <http://dbpedia.org/ontology/dissolutionYear>                       | 7              | 53     |
| <http://dbpedia.org/property/floorArea>                             | 7              | 12     |
| <http://dbpedia.org/property/populationof>                          | 7              | 9      |
| <http://dbpedia.org/ontology/lowestPlace>                           | 7              | 22     |
| <http://dbpedia.org/ontology/governmentElevation>                   | 7              | 16     |
